Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
H,300.9897850817721,313.70526966269387,1999,40.14230919832573,206,0
M,296.14932997059566,311.31418921218375,2135,29.67303964109551,127,0
M,295.93857284823355,310.3250406641598,1450,54.22794483739835,71,0
L,304.0962681943659,306.15394642178916,1490,12.202776608984,210,0
L,301.6920026293808,311.0563788932341,2424,38.486140362619075,214,0
L,303.29286799316753,306.17203905680236,1525,30.17940365622001,154,0
M,303.78978900282266,308.3720657556575,2036,65.23215310615328,39,0
L,300.7177235204832,306.42841964814335,1707,10.720181636360952,223,0
L,300.1744635175504,311.9207364702437,1930,43.168892543100945,25,0
L,299.3042741032099,307.06252113836155,1271,54.43981486399756,26,0
L,298.1694658779112,308.91859373188026,2470,39.10107925144247,189,0
L,299.3459596085871,313.9567477761878,1840,15.1241818097633,82,0
L,302.73879655730155,307.0431638339897,2139,68.34768340167413,127,0
M,301.0192343101513,310.0780506395878,1807,41.080625882565876,177,0
L,303.92523289954846,309.1927166116602,1765,46.85117465914068,169,0
L,299.43380014379187,305.1812404104573,1253,24.19658696245044,156,0
L,301.07089578718757,312.92758113572813,1727,39.00988510640823,166,0
L,301.3130755309199,305.690459063146,1810,35.74896951749931,187,0
L,300.91697162306326,309.74255020976955,1392,14.493750520119024,168,0
L,302.0263377308552,310.6067829493895,1257,16.36962121284803,32,0
M,297.3743346837481,311.28426456614585,2334,60.24835117712647,210,0
L,300.1236377754579,311.8863162930788,1328,24.389197132395417,228,0
M,296.04224802808346,307.53272383522716,1905,21.697496289917833,210,0
M,298.8451132764481,305.0997877665845,2051,40.294687075008355,96,0
M,299.87667068621266,312.23443662354913,1207,56.124827881750775,110,0
L,301.5222425954547,310.3565659934758,1228,13.716791114739275,15,0
L,304.50531052586206,313.3611770320725,2335,44.60847517829535,22,0
L,301.0065106654836,313.21388362900694,2146,17.1526265704344,134,0
L,302.4359391617656,313.4332616778788,1330,12.187663049537107,25,0
H,300.06266059495204,309.8509465997954,1387,13.164637129733043,95,0
L,301.3410403137633,308.33628395836865,1908,60.04984649250648,11,0
L,295.70932216133775,312.9155820259137,2427,17.078349017683692,71,0
M,297.5439158084185,309.5129411302926,1411,12.709081864737517,132,0
M,298.6185309320514,306.83442196403433,1475,36.27399322857474,105,0
L,299.72493355006515,313.54974019561473,2296,60.63960831652149,219,0
L,295.4564874550238,313.8255987677235,1442,25.744502589358117,116,0
L,296.40024097553317,309.6630975614017,2325,35.302757051554984,196,0
L,297.76814307791307,305.75699727309785,2186,12.395351953825074,176,0
L,304.7153269090105,308.87826089916933,1884,36.944710848092555,25,0
L,298.3134700710305,313.03537659462603,1370,44.65678483822802,132,0
L,299.8204105811208,314.0177402854623,1852,44.25442322512869,21,0
L,296.96097712738396,307.034727424976,1387,29.94560153046191,206,0
L,301.10780071075766,305.6697361202527,2309,28.93199083978813,12,0
L,297.8068321551597,313.7735045313284,1251,16.397417136195873,155,0
L,297.0699257843843,308.89404938978873,1310,32.007899238776105,160,0
M,300.16572628445977,310.41760964267564,2076,15.96968013237788,106,0
M,295.0550579916042,314.6806581205076,2266,55.9957566827231,22,0
L,295.0766403264923,305.6656472791422,1410,67.97645786489116,96,0
L,297.19068809101856,311.48318007452093,2423,68.20446740000241,234,0
L,295.3672136250082,305.74105422574866,2057,61.90426596252363,17,0
M,296.08025754130693,308.754689284665,1826,46.04752896037715,241,0
M,298.3886064933875,313.03814545193444,2249,52.05194183463279,116,0
L,303.0258567957981,309.33472232755634,1498,27.112348160824844,29,0
H,300.720486433693,314.9718235390295,2300,47.84622521035724,25,0
L,300.1266772595642,310.590592849466,2123,37.338972966392646,143,0
L,297.9348882320812,308.2116215263595,1336,38.92104038661595,204,0
M,304.31753719432817,307.20111325904753,2243,55.46659362250948,38,0
M,298.97015041237194,308.50520534286164,1639,26.9151013358351,160,0
M,295.8709276679577,308.7253327375955,1410,29.082376701671194,153,0
M,301.170665161178,305.68713677723963,1951,65.4785074677182,175,0
L,296.138383934766,308.69574199426773,1634,13.373457691058334,192,0
M,298.45223142801694,309.64238519739223,1979,39.13805790480042,240,0
L,300.0741193871781,312.22737752238805,2430,64.76804802447171,165,0
M,303.7422252468518,311.5672948472161,1638,46.62178046908942,129,0
L,299.9354658034012,312.08765655229155,1865,42.784424452727926,112,0
M,302.0225876603166,305.0836368187686,2265,24.984650753761315,133,0
L,304.92816838999073,307.17667399580534,1610,30.596529343866898,45,0
M,296.3148911989798,311.6168428839986,2005,61.12290494828157,49,0
L,297.7473152551952,309.8398936817975,1809,43.553087906107486,165,0
M,298.94576075597644,305.05313475668345,1626,40.884531625406794,105,0
L,299.2182817853883,313.0449464243182,2498,15.974782812401735,215,0
L,299.11021075265546,312.7280957329034,2101,10.961689387307388,145,0
L,304.0761100255655,310.48419162993565,2141,67.82111132122294,154,0
L,302.1403264446686,305.6646332577627,1941,32.619170037210495,168,0
M,301.07905214090704,312.66515049532586,2443,46.19278372597026,71,0
L,298.09372717862783,310.83713587731364,2455,14.7829043912371,219,0
H,303.237903842213,312.8195997715796,1527,50.98685714338279,73,0
L,304.5506051148499,312.5174699239584,1251,65.95400252235765,16,0
L,303.2119828255023,313.0300207195784,1575,44.53991517984518,246,0
M,295.01565105191474,310.1800806640463,1462,17.566919342524635,189,0
M,301.3640137018341,306.4032451819352,1466,44.903291648408604,156,0
L,295.511353814421,311.7115747337969,1558,55.980832786279144,185,0
L,297.5760722033372,311.2047378505197,1851,34.38499219444112,69,0
M,295.5952470034777,312.4225318719909,1245,62.790264876488074,205,0
L,301.0379545294939,306.69881006050736,1799,48.92097720144187,149,0
H,301.86589913492605,306.9497519990029,1919,63.95493509735215,245,0
H,296.14487638065907,313.9040951721933,2492,47.410318674840234,5,0
M,298.8383888304498,312.49977798452073,1800,17.877278320289456,25,0
L,299.56236508955544,314.08228488700325,1580,28.581502666311348,166,0
M,298.6905302176092,312.5871532116392,1317,22.107696895147413,139,0
L,296.21025000485196,310.97155305990304,1315,64.52958986301174,98,0
L,299.18947790187474,311.54132737027874,1459,55.62400403724896,141,0
L,302.5117804780842,313.8912792394001,2298,50.583902134600365,21,0
L,295.71007664533255,310.7880675451194,1504,28.057979177897302,50,0
M,295.801800140819,311.32391324328387,1206,21.04268632301281,150,0
M,298.5477129183598,306.564767160036,1565,55.387065279334706,175,0
M,304.41725711618926,309.739212201161,1722,38.44947675274478,198,0
L,301.68572646722913,312.163971119581,2438,23.547373129037748,103,0
L,301.78669956672564,307.70942698316367,1628,46.997318689916504,177,0
L,298.6191999083787,307.02254180524534,1990,12.42003112830712,88,0
H,300.9366079120854,308.13826808224417,1946,29.57021524769521,140,0
L,295.10131184027745,307.4150062799283,1566,38.11341967546808,212,0
M,301.3609604640954,307.14912637036394,1512,18.87750004656435,232,0
L,304.1328694757624,309.24850842868085,1737,69.07926865545038,137,0
L,301.1257346834482,314.07838513883536,2120,22.545841875376855,244,0
M,303.73698593466344,310.0705964673872,2277,17.821187802595933,182,0
L,302.2397305546609,306.87920380815325,2064,22.212092433213783,8,0
M,296.2055841640369,305.76971669380873,2387,56.143667989583456,78,0
H,304.0245330728584,311.9615614513792,1981,35.530339556310565,51,0
L,295.66443844355774,308.8279876443639,1533,43.92495638515228,129,0
L,300.33967472547766,313.2183094658536,1997,11.260549419181645,152,0
L,296.4213712379346,311.5951076864077,1547,12.065878514398873,12,0
H,295.11706610730903,312.9624145054137,1472,36.749532989620974,225,0
L,299.2203426012764,307.71946039418447,2162,58.99931459209741,50,0
M,297.9504070765416,311.92358922461057,1919,63.114332722453916,185,0
M,299.86000493797604,307.64061984693717,1699,15.202394055738413,33,0
M,300.77199886734553,314.39068479450293,2316,42.301786126061366,34,0
L,295.4373907230895,311.36374281533375,1884,64.79378117675623,229,0
M,296.23003295123743,308.24511800175344,1278,33.278365263873184,130,0
H,300.58642396450426,307.69511862292273,1821,59.773949885702116,233,0
L,298.4316735317266,306.90926585071645,2440,18.02173926396617,119,0
L,302.29173487549446,311.9464095889373,2146,66.12366938006792,186,0
H,301.5229164859194,307.18715612997926,1557,55.085399051878156,69,0
L,303.45604362989906,310.95303265927487,1817,66.4800635672141,246,0
M,301.92492826669223,307.64635026925356,1706,50.59703401315039,175,0
L,299.2993107739015,311.6196894479387,2404,31.80423591996562,191,0
L,301.7296662239443,313.14939728540537,1775,66.29087035148335,240,0
M,297.7538117425542,312.7802524314465,2469,26.53400657855071,146,0
L,298.0631349877821,312.6085133093078,1443,29.930351323703952,66,0
L,302.88985159920793,306.8772240569225,1705,52.04850508010442,209,0
L,299.46419516401585,305.8838494698452,1621,55.91897797152318,102,0
L,302.98380340518355,311.98948828487386,2310,65.76420903094923,72,0
L,303.2242237366828,308.6834721379435,1416,22.28814454337257,115,0
L,303.57562337661284,309.3234622640335,2208,57.879882113153435,203,0
H,304.1663523584121,305.3114909279339,2392,54.31276320381781,132,0
L,299.309852205133,307.5957644927505,1529,13.827673375215872,66,0
M,298.1886681832114,305.33676403874466,1849,33.23338847261242,138,0
L,300.82198746594116,313.7918577260125,1590,26.965927423605915,120,0
M,298.7117242343763,307.4339668321853,1580,28.269425461241823,93,0
L,301.0107416680023,310.5733716957301,1941,68.97681277328205,195,0
H,302.05585862643824,305.38979320661133,2019,48.56664480879567,196,0
L,301.88405018492136,311.6684739130566,1872,53.06056946760997,128,0
L,298.7455288702012,308.23027345754093,1712,68.59705823890056,90,0
L,296.6686020169875,313.97919186957665,2148,32.632106947458325,91,0
L,299.3052933846221,313.8811818893404,2411,58.110410107168356,62,0
L,296.4259414408191,308.2529061836175,2129,36.07185779826972,28,0
L,303.90097035183805,314.0096089569047,2112,62.17202030889879,209,0
M,298.4587746073786,314.9615767349878,1843,20.83945247867819,11,0
L,296.54459747223325,313.2541566412395,1626,66.86117062385678,76,0
L,295.2544775990575,313.4487134775523,1701,23.12630250465278,40,0
M,301.4582238628648,307.4900873610909,1929,29.573230418855893,129,0
M,301.3690231745474,310.76702398857753,2483,55.37153404640683,36,0
L,298.4060416658129,305.6725591396737,1270,33.6253084939244,172,0
L,295.71711888847653,305.9491793682167,1677,46.4926826059868,207,0
L,299.0962889489523,314.9889261203329,2401,36.67441006416571,175,0
M,298.1121749506339,308.2663924942591,1656,54.54219622538691,23,0
M,301.7712063973501,312.4818391204885,1388,23.699875142116653,98,0
L,301.0577924945269,313.0666505302682,1490,13.50747923421262,149,0
M,298.6459372819754,313.58023271007227,2119,27.995763848383973,99,0
M,297.1789255425499,314.97628297402156,1491,38.45851989210581,138,0
L,304.88035966155593,307.4149648525687,1955,20.081203131560713,246,0
M,299.54001621196113,305.403508268597,1576,31.28783737938332,57,0
L,301.8827423578024,309.11191517994587,2379,33.99898109761411,173,0
L,296.4055296757836,306.3008066982895,1707,13.443510621296413,28,0
L,299.85589699659397,305.22425889162054,1727,44.99843489105227,162,0
L,295.27536719869465,308.60426827141487,1758,63.06060567827725,239,0
L,300.0545511791045,312.8373825107524,2410,19.104574777183146,245,0
H,304.640174071177,310.6618069122507,2254,45.868480804090844,142,0
L,298.842067129858,308.12777989210355,1459,49.884352294650775,59,0
L,295.3899601257491,311.5434200549272,1620,35.1600808251573,94,0
L,295.3095579091934,307.32018180308813,1503,52.0658552418562,41,0
H,298.8798675994687,305.1438144607209,2141,34.64389260946072,232,1
L,296.60024936463196,312.64353386436426,2262,40.278237278646095,42,0
L,295.2335209632819,311.2374308486401,1741,10.441182673265619,207,0
L,302.5621361395018,312.6230262450096,2426,51.50320684808133,73,1
L,299.5852300888189,305.38938016687666,2289,49.68056073668347,176,0
H,297.89244771972653,313.3711962783065,1307,12.304052639580673,191,0
H,304.0008318301648,311.195262000363,1467,32.09500644370799,159,0
L,296.1613896020053,310.6339535071264,1421,68.74191044750005,63,0
H,304.5591882895532,311.2461404811453,2313,35.244193754117006,242,0
M,298.13966717377355,313.6443324686836,1892,40.1167243079105,1,0
M,303.8840367230868,310.8693650655891,1454,64.5958094895831,151,0
L,301.0294287647946,310.8095037988818,1452,53.03571255194539,214,0
L,303.2670735974149,314.9067915706577,1456,44.92420786745341,65,0
L,304.84013163210466,312.56730167068565,1582,57.868280880464354,165,1
M,297.88405437818744,309.42293805451135,1641,61.86197598735839,30,0
L,304.61135485407596,312.07397000032927,1798,37.413284304236015,114,0
L,298.8948189490242,308.89230471691786,2313,38.50650189591012,231,0
L,298.8551190473692,307.288754624835,1589,33.16305613911015,25,0
M,298.40387104254506,310.9685187688776,1781,68.00236840110763,28,0
L,300.4140760734758,314.2818209811395,2267,51.829975257421026,194,0
M,296.5414504317849,314.2913952001546,1797,14.993383972484338,249,0
H,300.53711485358014,308.4190527810549,1218,61.777577398781105,77,1
L,300.41704812410006,310.27677466221695,2324,38.83359645017609,24,0
M,302.6190181260487,307.11635898569864,1806,14.125234385349248,47,0
L,303.33649961937584,314.95631109498885,1232,42.983035309798666,64,0
M,299.40441350312426,314.81117907867934,2452,35.02985673854212,180,0
L,298.02333249351494,311.49508929707446,2061,62.66496429175749,66,0
M,297.5933489731709,313.04414059677475,1354,22.239676216563243,245,0
M,296.9462383670487,312.151001612837,2104,59.58787656953098,89,0
H,295.57647582199024,310.9315821903947,2469,43.461321471127164,145,0
M,298.4244797883471,305.53347996988896,1604,13.276618192808144,136,0
L,297.70247692130783,309.5476434255266,2043,68.31071807952908,37,0
M,304.66417385866407,311.7478630216741,2384,40.756914646191994,86,0
M,300.5770882625004,311.77531613883684,1946,27.45261125389495,148,1
L,298.4727703903051,308.73122618422383,2340,38.164410519355485,248,0
L,300.80467600993694,314.4169198665803,1470,61.47146701104934,64,0
H,296.39196701345696,306.6735703223678,1969,28.29418746310381,148,0
M,299.44043749202206,310.0035944621556,1371,21.56058378920202,26,0
M,301.26234321421066,311.9088397655082,1473,17.744274815852886,105,0
L,299.8889783179245,311.9713580589181,1458,27.871563903412675,122,0
M,299.01778800654324,311.48638956768815,2358,56.80288522240261,197,0
L,304.938483888997,307.7528821345186,1621,38.2975819117157,246,0
M,303.80314762148925,306.5620656868662,2409,23.648896221612397,43,0
L,301.2340595815944,311.3594032682671,1563,19.971099976584952,99,0
M,300.69377361182285,310.9930211613944,1577,29.963768590622745,27,0
H,301.20660479824585,306.7935601028924,1779,66.39546237314252,172,0
L,297.01312107822434,312.05139145570564,2090,30.581602755401462,16,0
H,298.9513774326432,309.5517199173366,1921,69.28744455727812,126,0
L,295.394595328909,311.67760591603155,2419,39.11382734592137,122,0
M,299.7554603748683,313.3736707977015,2080,20.749835097409054,167,0
M,300.4302458395766,306.69728428576923,2321,63.46840550761056,249,0
L,297.2774973610321,305.19144867996835,1804,37.62132238808961,243,0
M,304.64028847165514,312.7910258639579,1221,52.580280610271465,130,0
M,304.0945461093724,311.09697425152615,2395,69.0226949925491,75,0
L,302.22143235455906,311.9963956962212,1582,13.010521019198439,230,0
L,300.3338662876536,313.3815497498864,1333,15.801673587254028,203,0
M,303.69969159647684,313.028109348245,2248,53.22740448776537,193,0
M,296.30652343823465,314.6092014692882,1702,26.90950019772832,247,0
M,302.90509794274885,310.35935078852117,2408,21.058083817005944,45,0
M,296.24820813966846,309.8849563265991,2308,12.36171278918377,213,0
L,302.94210662549403,309.0188719989073,1343,11.31080271917211,214,0
M,297.7576756825136,306.53691042844207,1423,56.46913618718745,157,0
L,303.7709058101819,310.72607232882024,1419,18.066005642173,68,0
L,304.44042093825396,307.77012524325977,1378,38.06323695826905,136,0
L,296.48795969405114,314.21307512212974,1632,46.35380891076898,84,0
L,299.6267560506539,310.831908042771,1464,35.701108034130776,10,0
L,304.80987378162683,310.9284018050811,2153,11.626399140173987,68,0
L,299.83407435973146,308.5492466087701,1628,57.01009015527453,98,0
M,303.63547522514546,305.5198935197771,1615,10.63079347249921,90,0
L,300.8873152213132,305.3174376537299,1926,55.71339366264904,240,0
L,298.75329907919604,309.23335144153197,1396,63.598269627287365,193,0
L,297.8578355552587,305.8456537809724,2276,35.97039526343033,215,0
L,297.03223091086085,311.0684695554014,1679,42.13254838586789,158,0
L,302.617981913777,313.8097300563966,2474,38.61900355705923,160,0
L,298.8654050682303,313.82914816518723,2089,33.35251711740633,166,0
M,300.1127546220075,311.59045410132234,2124,63.245472122221614,93,0
M,299.9232548000118,307.1123183147293,1322,63.63601064019943,173,0
M,300.7727902923313,313.62996831358873,1977,30.148981878492073,164,1
L,303.65577145624553,313.8609343531321,1547,46.90418524088188,114,0
L,304.8073934358343,306.9665358495296,1228,65.61445372875184,219,0
M,299.07584208573815,312.37426085770676,2174,67.7235099364811,187,0
L,303.27518922106304,307.86519548927123,1234,40.537542425322854,30,0
L,302.6452779465472,313.0264031235293,1822,37.1694883170596,10,0
L,300.73528951455575,314.97237899903604,1788,26.721658955711547,86,0
L,304.5604714361193,305.3002600532939,2370,67.5323123914246,120,0
L,297.004745155284,313.9736586579093,2290,18.56885826837204,129,0
L,296.09264210309624,311.2263053359866,2103,44.7897745628635,231,0
L,303.5396196695542,314.73382619164823,1719,26.953016051118333,104,0
L,299.3914981663375,309.65009517526425,1321,26.740497420867797,26,0
M,303.4696885420706,313.47387930571375,1539,34.298115242571306,226,0
M,303.93090205195415,305.62394068598275,1374,69.92757614893927,1,0
M,295.6245759361907,308.35279050078293,1796,13.297978410389323,102,0
M,303.8346476298606,305.6701653775121,1650,44.71250909221189,100,0
H,299.4831905536942,314.7534313347907,1756,14.95432948211663,20,0
L,300.10432489004234,313.16973907271836,2359,19.27124979943114,57,1
L,301.26592511093213,313.5254742124597,2239,36.37377650637392,132,0
L,304.26382606730084,314.37965231433895,2418,40.62760788078648,179,0
M,295.1911609442976,305.85103486119783,1208,25.52754450187144,172,0
M,299.76843468317816,308.85597592513335,1533,28.987427852464972,84,0
L,301.8772204243056,305.71034889044,2216,15.218021215355984,92,0
H,302.2270695769823,307.1079310155003,1526,28.193187030655032,19,0
L,301.9253243153711,307.29365777037674,1214,67.99350636283265,60,0
H,296.3443512940812,309.6910721104758,2038,66.6824429003489,37,0
L,297.9939558837168,307.68562167453643,1425,30.0926974082191,147,0
L,298.5871552541701,306.00978106817763,1312,44.2512361767257,241,0
L,303.04437207679507,306.6749108909411,1200,64.57572346665665,24,0
L,297.78759872414554,306.4727556355209,1465,10.3710293584538,129,0
L,297.10704963867204,314.73076797912296,2431,58.641014220255514,120,0
L,304.57448019038094,312.59292506918473,2151,66.90217316733515,159,0
M,295.08863285113466,314.67761465269564,1505,15.479544060013424,25,0
L,304.97820855681977,309.39740486507907,1211,19.686861161975262,197,0
L,301.76821298857396,307.7836848166266,2136,67.64477816628133,168,0
M,303.2846929944912,312.9829319720919,1619,42.25240861842078,248,0
M,297.94619396346195,308.26253918041147,2088,10.851798068303422,66,0
L,295.1431527766706,307.9938337370535,1370,25.45791992581175,224,0
L,302.3786951856153,307.3250599220783,1333,36.99662045613158,0,0
L,303.34144597000676,306.29678978224234,2164,51.57453466148606,50,0
L,302.40476131953517,307.5646306101677,2248,53.98962268820797,4,0
M,296.42850287300837,308.55319748473886,2413,69.72529077552737,12,0
L,302.5342792225697,311.7399420814573,2364,27.250671963025543,146,0
L,302.68922782107643,305.6256484221945,1857,42.293206112108514,139,0
M,301.5854051567006,307.10506939665345,2315,41.9994128715763,47,0
L,302.6611593279559,313.0902364029168,1378,34.33871556683425,152,0
L,303.4592143967773,306.4692192358377,2279,20.14971363054521,56,0
L,301.1360411423746,308.4264514652252,2378,68.64739379103055,114,0
H,295.8860471396968,313.6465892185814,1310,61.19903119999516,34,0
L,299.8762780966721,306.54925311143444,1336,39.89998169765423,75,0
M,295.77649334671605,305.8273683561819,1431,46.19472536104179,93,0
L,299.0754303103243,309.8453799508001,2191,23.63566321357974,4,0
L,299.0710648912563,308.0241951127854,1667,42.62722422350481,225,0
M,295.6600984414024,310.63408364483854,1931,51.69820798728855,21,0
H,298.4882053396948,313.03804890483474,1680,40.910021703195326,102,0
M,296.10998098791316,306.3714848815274,2291,69.41711023509647,204,0
M,303.08235210009224,310.8069908455428,2013,46.68049937486357,184,0
M,304.4768802596447,310.05508760389864,2472,32.25842275553014,174,0
L,295.7231647525794,306.440787860132,2193,56.329121656950285,181,0
L,304.55115207291703,311.23998485528983,1522,20.227750694898525,130,0
M,300.2257659933675,307.7364041786077,2121,33.070948822375996,123,0
L,297.99565677953876,309.87834318544014,2103,30.817537022655152,52,0
M,295.76862075276165,305.8227232427706,1805,35.90842570646664,211,0
H,300.0062426807042,309.59584057213624,1628,56.90678955572358,158,0
L,302.94515544490747,308.0646346804282,2492,39.050381929804445,68,0
L,302.070864772667,313.22381211185353,1347,57.64086701595777,215,0
M,295.50226011463974,305.5697872699737,2341,44.58933418839195,103,0
L,295.729018353679,309.1860727491833,2049,30.52416607945332,245,0
M,299.02873282632635,309.58431424131436,1566,58.598724621008344,160,0
L,297.9529049404794,312.2500607629912,2049,24.297380233185493,199,0
M,297.3238432305605,310.7428757509021,2289,23.46297878798773,215,0
L,297.81004498908715,311.67212337194184,2012,40.27017544329014,177,0
M,303.0348274329688,312.77049285651754,1374,25.650954757725337,211,0
L,304.2922805363185,313.6220297365819,1787,10.54522209707298,15,0
L,299.0510269452757,308.1387549672247,1694,48.89785163792809,241,0
L,304.06111002132496,310.38022705363903,2172,40.66562928834388,115,0
M,298.2149570124788,313.401080784392,2337,36.73106886958967,75,0
M,299.76436986343793,314.89451130965057,2334,68.01811087709892,204,0
L,297.26028997816,313.8951931104376,2370,44.27195103777482,108,0
L,301.40476042175845,308.7146726262438,1234,61.80589466736307,233,0
L,304.7898111517481,306.9516651721865,2198,18.36701417230961,38,0
M,301.03493096043377,309.8939253740659,1737,44.15238778776566,88,0
M,298.5781408411355,312.4164145183604,1949,62.07877760385417,173,0
L,301.4781744599053,309.92569070753297,2237,44.98634543679388,223,0
L,296.22920678465385,309.8318086331367,1573,53.08085068762009,215,0
L,303.886590802654,313.382304210818,1756,32.32261406873244,111,0
L,300.03083950779836,308.6140377906719,1432,15.546971022223996,46,0
L,299.4934974203964,313.59794674811644,1904,37.474017707624284,171,0
H,300.8586478845352,309.0680480095172,1762,33.668763450331454,136,0
L,301.247838627894,308.2823310567834,2138,62.02361094273684,231,1
M,295.71775806226515,309.539899111997,2086,24.639718141148336,241,0
L,301.82617221223404,312.62446958674866,1925,68.00405365210648,214,0
L,297.4193168031553,306.26002027863996,2498,67.48828718826977,127,0
M,302.1395263250659,306.96419215872015,1275,24.85789858428632,177,0
M,303.22534794384194,314.51444825663094,1638,30.88311732863923,76,0
H,303.0395850755252,306.7549162738136,1898,63.7333444524331,187,0
L,300.5250096740789,310.67727317931053,2114,67.99733325376644,223,0
L,300.20169892310753,310.79314466661936,2090,36.60634617016264,241,0
M,296.4287596133941,309.89624462050244,1891,29.25982273845387,14,0
L,302.75346150403135,311.44745248576817,1452,41.56564079509252,35,0
L,297.71409380446715,307.2982672579762,2349,51.26615238194409,240,0
L,299.9669542281795,310.5266226777675,2400,26.408470922498786,62,0
L,297.8427409292752,308.72173255246895,2260,54.18839047714437,68,0
M,296.3382836299969,311.6166725962919,1609,13.099441426878462,213,0
L,301.2955769689174,306.4122354337315,1326,12.957669565864986,207,0
L,295.54332034822903,310.70877416839477,2391,33.177262308732715,168,0
L,302.486452341262,306.85270355383324,1791,31.208391523643236,73,0
L,298.17586795261116,307.7864306311504,1493,28.937992922029135,23,0
L,295.00134693004486,307.18709800323586,2219,39.4611857601346,209,0
L,300.1112913923723,306.82837779868817,1509,29.244014938694274,48,0
L,295.46851908527606,313.25710951560666,1861,21.535475108085514,145,0
M,297.761695578209,307.85707567660893,1727,28.568172945316054,6,0
L,302.06976487455717,314.2712378186445,1739,68.49425636861409,3,0
L,295.62689621621865,314.6992652534519,1618,34.66680501969091,89,0
M,303.39338492356,310.71260469937096,1643,36.68276661150014,196,0
M,295.03819922658585,306.43001122665726,1884,44.5926993970684,59,0
L,297.46823869201904,308.7454824337958,2039,69.0004461048536,54,0
L,302.4090405615207,312.9773226334821,1435,24.496076586145783,15,0
L,298.1627014972931,308.6739072869707,1413,50.87692663194603,226,0
M,296.0189238806601,305.8701721830279,1284,52.95908161250345,217,0
H,298.6023391880043,310.5678491092819,1993,46.439465007583955,209,0
M,297.70393286384524,313.45120851496034,1284,15.314700378198644,28,0
L,303.42711902160556,312.95926387143504,1264,50.612336549654586,150,0
M,298.13347917585145,306.7512314013035,1862,13.845682662170528,244,0
L,302.8893247177601,311.72764614412466,1826,45.768558972993816,13,0
L,303.91872144810736,307.20504263435646,1263,54.37487063330456,78,0
L,299.3381741957653,307.1820753455217,2138,22.658193437197024,176,0
H,304.09943143854395,313.74071773305184,2118,60.49732045256644,32,0
L,298.77318053963194,307.4966895274023,2381,11.821228331980256,152,0
M,304.6407841649011,307.6324734651801,1690,60.62877181949837,20,0
L,295.8928952452557,305.006533907613,2448,37.6197430385659,144,0
L,301.87019266503245,313.7066903412552,1512,23.05527639589867,22,0
L,299.9381404045693,312.9259481320913,1814,18.02668869963808,56,0
L,298.8764880545565,311.2732893509068,2118,67.19843005494235,234,0
M,301.32711878748603,312.5026576393884,2012,14.359935254869402,208,0
L,302.0385709163433,306.5204856742449,2139,21.94560519615554,185,0
M,295.0436326965031,309.58323594587574,2311,30.86934084598276,141,0
M,296.669530887472,308.51219387348783,1879,47.21409093766723,92,0
H,302.1304605063432,305.93776526257017,1634,42.6880651165659,19,0
L,301.66385413578206,309.86130485214926,1881,17.53860954473884,157,0
L,304.66047505128677,314.20739650342637,2358,27.383679024292878,18,0
L,302.6103779025078,305.40059119050693,2273,24.325106265161445,180,0
H,304.5077270773134,307.91460913493796,1539,22.81257126942048,102,0
H,302.02540501534804,307.07540936205703,1546,34.66866018879922,183,0
L,297.98052208639444,307.38146653665694,1845,52.24188715549941,76,0
M,296.05364922250857,314.0843455187937,1848,23.047175933034154,209,0
L,302.81823863344937,309.6806905423429,1444,32.000732782178886,150,0
M,301.44149221475914,309.6629941293982,1308,33.45504561046974,189,0
L,295.48186012393296,312.60575642455285,1732,68.58739176612461,237,0
M,298.6005046590098,306.54492204004924,2313,67.27998141274414,32,0
L,304.5679981548429,309.8726535410005,1495,58.00825496512456,230,0
M,300.004011457102,309.2998521412106,1311,24.49953524915111,231,0
M,299.327291360197,310.96910690546656,2400,14.082238845500182,17,0
M,299.5769960515929,314.9955770325044,1542,29.014248263237484,72,0
L,297.0888272400516,312.69448894082046,1300,26.00767296602985,160,0
L,298.687071708648,308.97865703017425,1828,40.35554800878363,159,0
L,298.69813255987174,313.2755305227405,1227,56.66367460406759,188,0
L,295.52355020187474,306.7070836331248,2136,61.49937633273148,181,0
L,302.6756762851792,305.3046368630896,1257,60.69184512463051,16,0
H,299.16504431903877,307.0444837246427,1496,31.580533673384068,18,0
L,303.2217988681642,308.4041155611426,1333,51.23406060764098,218,0
L,303.503480011199,310.1058075745956,1448,28.770051851453204,69,0
L,297.1199405469866,311.151291405412,2220,13.654332594110963,226,0
L,301.5735348217013,314.10605717214423,1749,52.093915936176536,119,0
M,299.7228180416298,310.0985400955046,2101,10.589653154187271,100,0
L,303.8015673792149,310.0127564462573,2298,34.550955247509314,33,0
H,297.1574067917645,305.5024300982298,2033,29.762756158124542,83,0
L,301.77813200310044,305.34911552656223,2391,51.602652311131145,152,0
H,301.07752122252725,310.51159961916375,1970,55.97472836562274,195,0
M,297.9530147757183,309.38178613248346,2448,28.24567815827703,73,0
L,296.36600903651174,313.391803949803,1345,58.69762086669121,201,0
H,301.51639760477275,306.60679584711846,2464,27.635005630296025,87,0
L,302.3859745813233,305.2497166211705,2092,36.779581599193676,84,0
M,298.1562734376335,309.49038767930125,1543,53.62111162084803,10,0
L,301.44832604022315,307.37478556752257,2258,51.57521375348731,90,0
M,298.951309076115,305.49614373338835,1901,69.24210833873201,143,0
